name,read1,read2,run_num
03Dap18523,/local/storage/finch_lowpass_2022/XH-4057/20241025_LH00179_0133_A22HH77LT4/Sample_XH-4057-18523/XH-4057-18523_S211_L008_R1_001.fastq.gz,/local/storage/finch_lowpass_2022/XH-4057/20241025_LH00179_0133_A22HH77LT4/Sample_XH-4057-18523/XH-4057-18523_S211_L008_R2_001.fastq.gz,1
03Dap18524,/local/storage/finch_lowpass_2022/XH-4057/20241025_LH00179_0133_A22HH77LT4/Sample_XH-4057-18524/XH-4057-18524_S210_L008_R1_001.fastq.gz,/local/storage/finch_lowpass_2022/XH-4057/20241025_LH00179_0133_A22HH77LT4/Sample_XH-4057-18524/XH-4057-18524_S210_L008_R2_001.fastq.gz,1
03Dap18525,/local/storage/finch_lowpass_2022/XH-4057/20241025_LH00179_0133_A22HH77LT4/Sample_XH-4057-18525/XH-4057-18525_S343_L008_R1_001.fastq.gz,/local/storage/finch_lowpass_2022/XH-4057/20241025_LH00179_0133_A22HH77LT4/Sample_XH-4057-18525/XH-4057-18525_S343_L008_R2_001.fastq.gz,1
03Dap18526,/local/storage/finch_lowpass_2022/XH-4057/20241025_LH00179_0133_A22HH77LT4/Sample_XH-4057-18526/XH-4057-18526_S342_L008_R1_001.fastq.gz,/local/storage/finch_lowpass_2022/XH-4057/20241025_LH00179_0133_A22HH77LT4/Sample_XH-4057-18526/XH-4057-18526_S342_L008_R2_001.fastq.gz,1
03Dap18527,/local/storage/finch_lowpass_2022/XH-4057/20241025_LH00179_0133_A22HH77LT4/Sample_XH-4057-18527/XH-4057-18527_S156_L008_R1_001.fastq.gz,/local/storage/finch_lowpass_2022/XH-4057/20241025_LH00179_0133_A22HH77LT4/Sample_XH-4057-18527/XH-4057-18527_S156_L008_R2_001.fastq.gz,1
03Dap18528,/local/storage/finch_lowpass_2022/XH-4057/20241025_LH00179_0133_A22HH77LT4/Sample_XH-4057-18528/XH-4057-18528_S153_L008_R1_001.fastq.gz,/local/storage/finch_lowpass_2022/XH-4057/20241025_LH00179_0133_A22HH77LT4/Sample_XH-4057-18528/XH-4057-18528_S153_L008_R2_001.fastq.gz,1
03Dap18529,/local/storage/finch_lowpass_2022/XH-4057/20241025_LH00179_0133_A22HH77LT4/Sample_XH-4057-18529/XH-4057-18529_S152_L008_R1_001.fastq.gz,/local/storage/finch_lowpass_2022/XH-4057/20241025_LH00179_0133_A22HH77LT4/Sample_XH-4057-18529/XH-4057-18529_S152_L008_R2_001.fastq.gz,1
00Dap18532,/local/storage/finch_lowpass_2022/XH-4057/20241025_LH00179_0133_A22HH77LT4/Sample_XH-4057-18532/XH-4057-18532_S337_L008_R1_001.fastq.gz,/local/storage/finch_lowpass_2022/XH-4057/20241025_LH00179_0133_A22HH77LT4/Sample_XH-4057-18532/XH-4057-18532_S337_L008_R2_001.fastq.gz,1
03Dap18542,/local/storage/finch_lowpass_2022/XH-4057/20241025_LH00179_0133_A22HH77LT4/Sample_XH-4057-18542/XH-4057-18542_S151_L008_R1_001.fastq.gz,/local/storage/finch_lowpass_2022/XH-4057/20241025_LH00179_0133_A22HH77LT4/Sample_XH-4057-18542/XH-4057-18542_S151_L008_R2_001.fastq.gz,1
01Dap18552,/local/storage/finch_lowpass_2022/XH-4057/20241025_LH00179_0133_A22HH77LT4/Sample_XH-4057-18552/XH-4057-18552_S163_L008_R1_001.fastq.gz,/local/storage/finch_lowpass_2022/XH-4057/20241025_LH00179_0133_A22HH77LT4/Sample_XH-4057-18552/XH-4057-18552_S163_L008_R2_001.fastq.gz,1
03Dap18562,/local/storage/finch_lowpass_2022/XH-4057/20241025_LH00179_0133_A22HH77LT4/Sample_XH-4057-18562/XH-4057-18562_S157_L008_R1_001.fastq.gz,/local/storage/finch_lowpass_2022/XH-4057/20241025_LH00179_0133_A22HH77LT4/Sample_XH-4057-18562/XH-4057-18562_S157_L008_R2_001.fastq.gz,1
03Dap18572,/local/storage/finch_lowpass_2022/XH-4057/20241025_LH00179_0133_A22HH77LT4/Sample_XH-4057-18572/XH-4057-18572_S150_L008_R1_001.fastq.gz,/local/storage/finch_lowpass_2022/XH-4057/20241025_LH00179_0133_A22HH77LT4/Sample_XH-4057-18572/XH-4057-18572_S150_L008_R2_001.fastq.gz,1
03Dap18582,/local/storage/finch_lowpass_2022/XH-4057/20241025_LH00179_0133_A22HH77LT4/Sample_XH-4057-18582/XH-4057-18582_S149_L008_R1_001.fastq.gz,/local/storage/finch_lowpass_2022/XH-4057/20241025_LH00179_0133_A22HH77LT4/Sample_XH-4057-18582/XH-4057-18582_S149_L008_R2_001.fastq.gz,1
01Dap18592,/local/storage/finch_lowpass_2022/XH-4057/20241025_LH00179_0133_A22HH77LT4/Sample_XH-4057-18592/XH-4057-18592_S162_L008_R1_001.fastq.gz,/local/storage/finch_lowpass_2022/XH-4057/20241025_LH00179_0133_A22HH77LT4/Sample_XH-4057-18592/XH-4057-18592_S162_L008_R2_001.fastq.gz,1
01Dap18602,/local/storage/finch_lowpass_2022/XH-4057/20241025_LH00179_0133_A22HH77LT4/Sample_XH-4057-18602/XH-4057-18602_S184_L008_R1_001.fastq.gz,/local/storage/finch_lowpass_2022/XH-4057/20241025_LH00179_0133_A22HH77LT4/Sample_XH-4057-18602/XH-4057-18602_S184_L008_R2_001.fastq.gz,1
03Dap18612,/local/storage/finch_lowpass_2022/XH-4057/20241025_LH00179_0133_A22HH77LT4/Sample_XH-4057-18612/XH-4057-18612_S218_L008_R1_001.fastq.gz,/local/storage/finch_lowpass_2022/XH-4057/20241025_LH00179_0133_A22HH77LT4/Sample_XH-4057-18612/XH-4057-18612_S218_L008_R2_001.fastq.gz,1
03Dap18620,/local/storage/finch_lowpass_2022/XH-4057/20241025_LH00179_0133_A22HH77LT4/Sample_XH-4057-18620/XH-4057-18620_S223_L008_R1_001.fastq.gz,/local/storage/finch_lowpass_2022/XH-4057/20241025_LH00179_0133_A22HH77LT4/Sample_XH-4057-18620/XH-4057-18620_S223_L008_R2_001.fastq.gz,1
03Dap18621,/local/storage/finch_lowpass_2022/XH-4057/20241025_LH00179_0133_A22HH77LT4/Sample_XH-4057-18621/XH-4057-18621_S332_L008_R1_001.fastq.gz,/local/storage/finch_lowpass_2022/XH-4057/20241025_LH00179_0133_A22HH77LT4/Sample_XH-4057-18621/XH-4057-18621_S332_L008_R2_001.fastq.gz,1
03Dap18622,/local/storage/finch_lowpass_2022/XH-4057/20241025_LH00179_0133_A22HH77LT4/Sample_XH-4057-18622/XH-4057-18622_S235_L008_R1_001.fastq.gz,/local/storage/finch_lowpass_2022/XH-4057/20241025_LH00179_0133_A22HH77LT4/Sample_XH-4057-18622/XH-4057-18622_S235_L008_R2_001.fastq.gz,1
03Dap18623,/local/storage/finch_lowpass_2022/XH-4057/20241025_LH00179_0133_A22HH77LT4/Sample_XH-4057-18623/XH-4057-18623_S114_L008_R1_001.fastq.gz,/local/storage/finch_lowpass_2022/XH-4057/20241025_LH00179_0133_A22HH77LT4/Sample_XH-4057-18623/XH-4057-18623_S114_L008_R2_001.fastq.gz,1
01Dap18624,/local/storage/finch_lowpass_2022/XH-4057/20241025_LH00179_0133_A22HH77LT4/Sample_XH-4057-18624/XH-4057-18624_S168_L008_R1_001.fastq.gz,/local/storage/finch_lowpass_2022/XH-4057/20241025_LH00179_0133_A22HH77LT4/Sample_XH-4057-18624/XH-4057-18624_S168_L008_R2_001.fastq.gz,1
03Dap18625,/local/storage/finch_lowpass_2022/XH-4057/20241025_LH00179_0133_A22HH77LT4/Sample_XH-4057-18625/XH-4057-18625_S144_L008_R1_001.fastq.gz,/local/storage/finch_lowpass_2022/XH-4057/20241025_LH00179_0133_A22HH77LT4/Sample_XH-4057-18625/XH-4057-18625_S144_L008_R2_001.fastq.gz,1
03Dap18626,/local/storage/finch_lowpass_2022/XH-4057/20241025_LH00179_0133_A22HH77LT4/Sample_XH-4057-18626/XH-4057-18626_S231_L008_R1_001.fastq.gz,/local/storage/finch_lowpass_2022/XH-4057/20241025_LH00179_0133_A22HH77LT4/Sample_XH-4057-18626/XH-4057-18626_S231_L008_R2_001.fastq.gz,1
01Dap18627,/local/storage/finch_lowpass_2022/XH-4057/20241025_LH00179_0133_A22HH77LT4/Sample_XH-4057-18627/XH-4057-18627_S206_L008_R1_001.fastq.gz,/local/storage/finch_lowpass_2022/XH-4057/20241025_LH00179_0133_A22HH77LT4/Sample_XH-4057-18627/XH-4057-18627_S206_L008_R2_001.fastq.gz,1
03Dap18628,/local/storage/finch_lowpass_2022/XH-4057/20241025_LH00179_0133_A22HH77LT4/Sample_XH-4057-18628/XH-4057-18628_S237_L008_R1_001.fastq.gz,/local/storage/finch_lowpass_2022/XH-4057/20241025_LH00179_0133_A22HH77LT4/Sample_XH-4057-18628/XH-4057-18628_S237_L008_R2_001.fastq.gz,1
03Dap18629,/local/storage/finch_lowpass_2022/XH-4057/20241025_LH00179_0133_A22HH77LT4/Sample_XH-4057-18629/XH-4057-18629_S224_L008_R1_001.fastq.gz,/local/storage/finch_lowpass_2022/XH-4057/20241025_LH00179_0133_A22HH77LT4/Sample_XH-4057-18629/XH-4057-18629_S224_L008_R2_001.fastq.gz,1
03Dap18642,/local/storage/finch_lowpass_2022/XH-4057/20241025_LH00179_0133_A22HH77LT4/Sample_XH-4057-18642/XH-4057-18642_S146_L008_R1_001.fastq.gz,/local/storage/finch_lowpass_2022/XH-4057/20241025_LH00179_0133_A22HH77LT4/Sample_XH-4057-18642/XH-4057-18642_S146_L008_R2_001.fastq.gz,1
01Dap18652,/local/storage/finch_lowpass_2022/XH-4057/20241025_LH00179_0133_A22HH77LT4/Sample_XH-4057-18652/XH-4057-18652_S220_L008_R1_001.fastq.gz,/local/storage/finch_lowpass_2022/XH-4057/20241025_LH00179_0133_A22HH77LT4/Sample_XH-4057-18652/XH-4057-18652_S220_L008_R2_001.fastq.gz,1
01Dap18662,/local/storage/finch_lowpass_2022/XH-4057/20241025_LH00179_0133_A22HH77LT4/Sample_XH-4057-18662/XH-4057-18662_S230_L008_R1_001.fastq.gz,/local/storage/finch_lowpass_2022/XH-4057/20241025_LH00179_0133_A22HH77LT4/Sample_XH-4057-18662/XH-4057-18662_S230_L008_R2_001.fastq.gz,1
03Dap18672,/local/storage/finch_lowpass_2022/XH-4057/20241025_LH00179_0133_A22HH77LT4/Sample_XH-4057-18672/XH-4057-18672_S331_L008_R1_001.fastq.gz,/local/storage/finch_lowpass_2022/XH-4057/20241025_LH00179_0133_A22HH77LT4/Sample_XH-4057-18672/XH-4057-18672_S331_L008_R2_001.fastq.gz,1
03Dap18682,/local/storage/finch_lowpass_2022/XH-4057/20241025_LH00179_0133_A22HH77LT4/Sample_XH-4057-18682/XH-4057-18682_S219_L008_R1_001.fastq.gz,/local/storage/finch_lowpass_2022/XH-4057/20241025_LH00179_0133_A22HH77LT4/Sample_XH-4057-18682/XH-4057-18682_S219_L008_R2_001.fastq.gz,1
03Dap18702,/local/storage/finch_lowpass_2022/XH-4057/20241025_LH00179_0133_A22HH77LT4/Sample_XH-4057-18702/XH-4057-18702_S225_L008_R1_001.fastq.gz,/local/storage/finch_lowpass_2022/XH-4057/20241025_LH00179_0133_A22HH77LT4/Sample_XH-4057-18702/XH-4057-18702_S225_L008_R2_001.fastq.gz,1
03Dap18712,/local/storage/finch_lowpass_2022/XH-4057/20241025_LH00179_0133_A22HH77LT4/Sample_XH-4057-18712/XH-4057-18712_S217_L008_R1_001.fastq.gz,/local/storage/finch_lowpass_2022/XH-4057/20241025_LH00179_0133_A22HH77LT4/Sample_XH-4057-18712/XH-4057-18712_S217_L008_R2_001.fastq.gz,1
03Dap18720,/local/storage/finch_lowpass_2022/XH-4057/20241025_LH00179_0133_A22HH77LT4/Sample_XH-4057-18720/XH-4057-18720_S215_L008_R1_001.fastq.gz,/local/storage/finch_lowpass_2022/XH-4057/20241025_LH00179_0133_A22HH77LT4/Sample_XH-4057-18720/XH-4057-18720_S215_L008_R2_001.fastq.gz,1
01Dap18721,/local/storage/finch_lowpass_2022/XH-4057/20241025_LH00179_0133_A22HH77LT4/Sample_XH-4057-18721/XH-4057-18721_S175_L008_R1_001.fastq.gz,/local/storage/finch_lowpass_2022/XH-4057/20241025_LH00179_0133_A22HH77LT4/Sample_XH-4057-18721/XH-4057-18721_S175_L008_R2_001.fastq.gz,1
01Dap18722,/local/storage/finch_lowpass_2022/XH-4057/20241025_LH00179_0133_A22HH77LT4/Sample_XH-4057-18722/XH-4057-18722_S174_L008_R1_001.fastq.gz,/local/storage/finch_lowpass_2022/XH-4057/20241025_LH00179_0133_A22HH77LT4/Sample_XH-4057-18722/XH-4057-18722_S174_L008_R2_001.fastq.gz,1
03Dap18723,/local/storage/finch_lowpass_2022/XH-4057/20241025_LH00179_0133_A22HH77LT4/Sample_XH-4057-18723/XH-4057-18723_S236_L008_R1_001.fastq.gz,/local/storage/finch_lowpass_2022/XH-4057/20241025_LH00179_0133_A22HH77LT4/Sample_XH-4057-18723/XH-4057-18723_S236_L008_R2_001.fastq.gz,1
01Dap18724,/local/storage/finch_lowpass_2022/XH-4057/20241025_LH00179_0133_A22HH77LT4/Sample_XH-4057-18724/XH-4057-18724_S171_L008_R1_001.fastq.gz,/local/storage/finch_lowpass_2022/XH-4057/20241025_LH00179_0133_A22HH77LT4/Sample_XH-4057-18724/XH-4057-18724_S171_L008_R2_001.fastq.gz,1
